Blog	water	music	product	general	after	version	started	wrong	pretty	out	comes	ideas	learn	lead	four	course	idea	stop	san	hands	listen	search	word	donald	conference	because	among	took	important	notice	opportunity	twitter	think	across	away	example	value	especially	whole	source	check	final	another	told	mean	far	support	over	nothing	someone	apple	wasn	taking	offer	along	single	having	state	feature	website	taken	continue	times	stuff	results	home	doing	read	need	exactly	bring	say	worked	early	play	than	nbsp	went	world	press	amazing	other	super	enough	until	three	wants	family	come	wanted	marketing	mobile	entire	against	american	got	while	public	actually	why	body	means	create	lost	friends	available	came	watch	simple	work	cost	isn	should	answer	m	off	hit	book	call	happens	pick	place	most	hours	photo	talking	am	she	well	needed	five	black	else	design	following	team	little	open	email	before	event	found	kind	ways	left	party	spent	below	article	today	u	under	million	view	old	decided	others	aren	me	every	level	give	recently	once	car	its	send	personal	add	inside	make	these	technology	though	game	when	research	show	store	number	users	minutes	camera	again	amazon	look	never	use	shot	easy	which	experience	asked	could	message	during	ever	anything	community	real	years	user	feel	too	stories	know	both	popular	people	own	art	project	less	take	similar	did	security	longer	original	young	low	monday	amp	now	change	rather	phone	makes	side	year	talk	business	something	your	anyone	co	couple	week	thousands	social	able	us	everyone	want	must	almost	since	saturday	favorite	created	love	reading	many	remember	tried	his	would	between	company	including	control	working	being	line	com	photos	voice	time	app	day	write	didn	point	earlier	doesn	really	money	simply	different	awesome	then	announced	her	high	only	youtube	re	b	instead	name	several	online	there	ago	words	yet	end	best	service	questions	even	pay	around	down	very	maybe	sure	find	thing	system	worth	big	appeared	up	long	whether	john	companies	like	vote	behind	guy	united	based	local	tools	where	link	everything	always	thanks	major	ll	past	seems	put	saying	part	states	list	stay	group	likely	city	first	late	through	yourself	hear	internet	running	understand	same	web	report	build	video	next	hot	cool	d	starting	features	google	process	via	reports	if	daily	history	question	job	matter	no	large	better	trump	become	still	case	much	learned	happy	posts	such	chance	who	age	microsoft	myself	data	person	fact	things	may	buy	gave	said	does	going	least	update	using	second	see	sometimes	later	good	goes	ask	issues	full	needs	they	had	fun	th	share	network	also	visit	tv	seen	series	hand	space	night	note	save	post	right	great	months	will	tell	track	articles	small	saw	face	into	life	government	two	last	man	involved	some	according	lot	click	building	don	here	few	drive	morning	videos	mind	bit	soon	help	problem	industry	their	finally	yes	hour	so	thought	interesting	those	says	were	done	takes	media	short	services	perhaps	hard	country	human	york	weeks	each	links	making	national	august	key	quickly	coming	turn	him	might	writing	story	gets	e	bad	any	information	let	within	month	blog	them	shows	president	together	x	live	go	house	either	already	top	wrote	keep	future	content	my	deal	recent	looking	try	used	won	called	he	our	get	do	how	computer	piece	probably	order	start	ready	directly	made	clear	latest	news	without	possible	given	move	power	happen	page	changes	run	site	care	half	members	getting	back	events	set	facebook	happened	obama	conversation	ve	please	trying	way	often	days	c	free
SpikedHumor - Today's Videos and Pictures	2	2	0	0	3	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	3	0	1	1	1	0	0	1	5	0	0	0	0	1	1	0	1	3	0	0	1	0	1	0	0	0	1	0	0	1	0	1	3	1	0	2	1	0	1	2	1	0	1	0	0	2	0	0	0	0	0	0	3	1	3	1	1	4	2	1	0	0	0	0	0	102	0	2	0	0	1	0	1	3	0	0	1	0	0	0	2	0	0	0	2	3	0	0	0	2	1	0	1	1	1	0	0	2	0	2	0	0	2	0	0	0	1	0	3	1	1	1	2	0	0	0	5	3	0	0	0	2	4	7	0	1	1	0	2	1	0	0	1	4	0	5	1	0	0	0	1	1	0	5	1	0	2	0	0	0	0	1	0	0	3	0	0	4	2	0	3	2	1	4	0	0	3	0	0	2	0	1	0	2	2	0	0	0	0	0	0	0	1	0	2	1	2	0	2	0	2	6	0	0	1	0	0	0	1	2	2	1	2	0	1	0	0	0	1	0	2	0	0	9	2	2	0	0	0	0	1	0	6	2	4	4	3	1	0	0	0	0	1	1	1	0	0	2	2	0	0	0	0	5	2	0	0	0	1	0	1	2	1	0	3	6	0	1	5	0	4	3	0	2	0	0	0	1	0	1	0	13	2	0	0	0	5	0	0	2	0	0	1	0	0	0	1	0	0	2	0	0	0	3	1	7	0	1	1	1	0	2	2	0	0	0	1	0	1	1	0	0	1	0	15	0	0	5	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	1	3	0	0	2	0	1	1	1	1	0	0	3	2	0	0	0	4	6	4	0	0	2	0	0	0	2	0	0	5	0	1	1	1	3	0	2	0	0	0	3	1	0	0	3	0	1	0	5	1	2	0	0	1	4	2	2	3	0	4	4	0	9	1	0	0	0	3	102	1	0	1	4	0	1	0	0	3	0	3	0	0	1	2	0	2	2	1	0	1	4	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	0	1	0	1	2	0	0	2	0	0	2	0	2	0	0	0	3	0	0	1	1	2	2	2	0	0	2	0	2	2	0	8	3	0	0	0	0	0	1	7	1	4	2	5	3	0	2	1	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	1	0	0	2	0	4	0	0	3	0	2	2	0	2	0	5	0	1
WIL WHEATON dot NET	0	0	0	0	2	1	2	1	5	19	1	0	2	1	3	1	4	1	0	2	1	0	0	8	0	26	0	3	8	0	0	7	17	1	2	1	0	2	7	1	3	1	7	1	0	1	0	8	1	11	0	4	4	0	0	3	7	2	0	0	2	2	4	7	0	2	9	5	11	6	0	5	0	0	2	12	7	2	6	0	1	8	6	1	3	3	3	1	2	6	0	0	3	2	1	4	6	1	5	6	4	2	1	0	0	0	1	4	0	18	0	11	3	0	44	7	0	1	2	2	1	4	5	2	0	3	9	6	3	5	3	0	4	0	0	0	4	0	0	5	0	4	2	0	1	7	2	0	0	8	0	3	0	0	2	2	1	3	55	14	0	5	2	4	0	1	0	1	0	0	10	2	0	6	1	21	0	3	0	0	0	2	6	5	0	4	3	5	0	0	9	0	1	7	0	4	3	3	0	3	6	0	12	3	2	16	3	0	17	4	5	1	3	9	0	11	0	1	0	1	0	1	2	12	1	0	0	2	2	14	1	0	7	2	2	0	4	10	0	0	0	3	6	9	0	6	9	0	1	0	3	7	2	4	0	14	9	6	1	2	1	8	8	0	5	1	1	12	0	13	6	10	6	0	5	27	1	0	2	2	8	0	5	2	9	0	9	1	5	1	1	3	8	2	5	0	6	4	0	1	17	0	5	4	2	1	0	3	16	1	1	6	0	17	3	2	2	0	33	2	0	4	0	0	1	0	10	0	7	5	1	0	5	2	0	3	3	9	0	3	1	0	0	0	4	1	2	0	3	5	1	2	5	0	0	1	1	1	1	2	6	1	0	0	3	0	1	23	0	1	1	2	3	2	0	6	18	0	4	0	11	0	7	0	1	3	36	0	0	11	0	6	1	14	2	0	0	5	4	12	3	0	1	4	4	0	3	13	0	4	0	0	4	11	16	3	4	1	2	8	0	2	1	3	0	3	7	0	2	1	6	4	3	7	6	2	0	0	1	1	11	12	2	4	11	2	0	16	0	8	0	0	22	6	4	0	0	0	1	1	4	3	0	1	6	0	0	1	34	6	1	4	2	7	9	1	0	7	0	0	6	3	1	0	0	0	0	3	1	5	0	0	2	2	9	0	16	5	0	0	2	3	0	5	0	8	0	7	1	7	1	1	0	16	1	3	0	3	4	4	1	3	87	2	0	4	2	2	0	1	25	12	22	21	16	0	0	2	0	1	2	0	12	1	0	2	0	3	4	0	1	4	1	2	3	0	4	1	0	3	16	0	3	0	0	2	1	28	1	4	17	0	8	1	0
Gizmodo	0	0	0	0	0	0	1	0	0	6	1	0	0	1	0	0	0	1	0	0	0	1	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	25	2	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	2	2	1	4	1	0	0	0	0	0	1	0	0	0	2	2	3	1	2	3	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	3	0	0	0	1	0	0	0	3	0	1	0	0	1	0	1	0	1	1	0	0	0	1	2	6	2	0	0	1	2	1	0	1	0	3	0	0	0	0	0	0	1	1	3	3	3	2	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	3	3	1	0	0	0	1	0	2	1	0	1	0	0	0	0	2	0	1	4	3	0	1	1	0	1	13	2	0	1	2	0	0	0	5	0	2	0	1	1	0	2	0	1	0	0	0	0	2	1	0	0	1	0	0	0	2	2	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	2	0	0	0	2	1	3	0	0	0	1	5	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	4	1	0	0	0	8	0	2	0	0	0	2	1	3	0	2	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	1	0	1	1	3	0	0	0	0	4	0	0	1	2	0	0	0	0	0	5	0	0	4	3	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	1	1	5	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	1	1	1	0	1	0	4	0	0	0	2	0	3	0	3	0	1	2	2	5	5	2	3	3	4	0	1	2	2	0	0	5	2	2	3	0	0	1	0	0	0	0	0	4	0	0	0	2	0	0	2	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	3	1	3	0	0	0	0	0	3	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	4	5	0	7	1	0	3	0	0	0	2	0	0	0	2	0	1	0	1	0	0	0	0	1	1	0	2	0	0	7	1	0	1	1	2	0	3	0	1	1	1	0	0	0
Search Engine Watch	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	1	1	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0
Schneier on Security	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	1	0	0	3	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	4	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
Engadget RSS Feed	0	0	2	0	1	0	0	0	1	4	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	2	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	2	1	0	2	0	0	2	0	1	0	0	5	0	0	1	0	0	0	0	0	2	1	2	0	1	0	1	0	2	5	2	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	2	0	0	1	4	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	17	1	0	1	1	2	0	1	0	3	2	1	0	1	1	0	0	0	0	0	0	0	2	0	0	1	1	0	2	0	0	4	0	0	1	2	1	0	0	0	1	1	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	2	2	1	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	5	0	0	0	0	1	0	0	0	3	4	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	3	1	3	0	0	0	0	1	1	2	0	0	0	0	1	0	1	0	6	2	1	1	0	4	0	0	0	0	3	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	9	1	0	1	0	0	0	0	1	0	0	1	2	2	0	0	1	0	0	6	0	0	0	3	0	3	0	0	0	1	0	1	0	0	0	1	3	0	2	0	0	0	0	2	2	0	1	0	1	1	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	4	0	2	0	0	0	8	0	0	0	0	0	0	4	0	0	4	1	0	0	2	1	0	0	2	1	2	0	0	0	1	0	0	0	0	0	0	3	0	0	0	3	0	1	0	0	0	2	1	1	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	0	1	0	2	1	2	0	4	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	1	0	0	2	1
Mashable	1	1	0	3	5	2	2	0	2	9	1	0	0	3	1	1	0	0	0	2	0	3	0	0	0	3	1	0	0	0	0	10	0	3	0	0	0	0	4	0	1	0	2	3	2	1	0	3	1	3	5	2	1	0	1	1	0	2	5	0	0	1	5	0	1	1	1	30	6	3	1	0	0	3	2	5	0	1	4	0	0	2	0	1	1	1	0	0	1	0	1	4	1	2	1	4	6	1	1	2	2	4	0	0	1	1	0	0	1	3	0	1	3	1	4	4	0	0	0	0	0	1	6	1	0	0	0	6	4	0	2	0	2	0	0	0	6	1	0	9	0	2	2	1	0	0	0	0	0	2	3	0	5	0	3	1	1	1	1	5	1	3	3	2	2	6	0	1	0	0	11	3	3	1	7	7	3	3	1	1	2	0	3	1	0	2	1	4	1	1	10	4	1	5	2	4	4	1	0	1	2	1	2	2	0	3	0	0	11	3	0	0	0	3	1	3	0	1	2	0	0	3	0	4	8	0	3	1	0	8	0	5	0	17	1	0	0	1	1	4	0	3	0	3	0	0	2	0	3	2	4	0	3	1	3	10	2	3	4	3	0	2	1	0	2	0	0	8	0	10	0	0	1	0	2	1	1	0	3	0	2	1	9	2	1	2	5	0	2	0	1	6	9	1	0	1	4	4	0	0	4	0	2	6	3	1	3	3	1	0	0	2	0	7	3	3	0	0	11	7	2	0	4	3	1	1	1	0	0	1	1	0	2	2	0	2	1	0	0	0	0	0	0	1	7	2	2	1	0	1	1	1	0	0	0	1	14	4	5	0	1	0	2	4	0	0	0	3	1	2	1	0	1	10	0	7	2	2	2	0	3	1	1	0	0	0	13	0	0	0	0	4	0	6	6	1	0	3	1	5	2	4	1	3	19	2	0	6	2	0	1	1	0	21	6	1	1	1	0	23	1	1	1	2	0	1	3	13	0	1	3	1	0	15	1	1	0	4	0	1	12	0	1	4	3	0	0	10	3	1	0	1	6	2	1	0	8	6	1	2	2	6	1	0	13	0	1	0	5	0	0	1	4	2	2	1	5	1	0	0	1	2	2	0	0	2	0	2	0	1	0	1	3	0	1	2	1	1	2	0	1	3	3	0	0	1	0	7	2	3	2	0	0	3	0	0	0	3	0	0	1	0	0	2	0	0	1	3	1	1	13	7	9	3	8	0	0	0	1	5	3	0	4	0	2	1	2	0	1	2	0	0	1	7	1	0	1	0	0	0	8	1	2	1	0	0	0	5	1	1	8	2	0	2	1
ShoeMoney	0	0	0	0	2	0	3	0	3	7	0	0	2	0	0	1	0	1	1	1	0	2	0	0	2	2	0	1	0	0	2	0	1	0	0	0	2	0	0	0	3	0	1	3	1	0	0	5	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	1	0	0	2	2	0	0	0	4	5	0	3	2	0	0	2	0	2	7	0	1	0	1	0	1	16	1	7	1	1	0	0	3	4	2	3	2	0	0	0	0	5	1	0	0	0	4	0	0	1	2	1	1	0	0	0	0	1	0	2	0	0	1	11	1	7	0	0	0	0	0	0	3	0	1	3	2	5	1	1	0	0	0	0	0	0	23	0	0	1	0	1	0	1	0	6	2	0	3	1	3	0	2	0	0	0	0	3	1	0	0	1	7	0	40	0	0	1	1	0	1	0	1	1	0	0	0	1	2	0	1	0	1	2	2	0	1	14	0	0	0	0	4	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	2	1	4	4	2	0	6	1	0	2	0	1	22	0	1	0	0	3	0	1	0	1	1	2	0	0	6	4	0	4	0	1	1	3	0	3	1	0	4	1	2	0	0	0	0	0	4	3	0	3	2	2	0	1	0	3	0	1	0	0	1	7	1	5	3	0	0	0	5	1	1	3	1	2	1	3	0	0	2	0	0	0	3	0	4	0	0	5	2	1	0	0	4	0	2	0	0	2	2	0	1	0	0	0	1	0	2	0	0	0	0	1	1	0	0	6	0	2	0	1	4	1	0	2	0	0	0	1	1	1	0	1	1	0	4	0	0	0	3	0	0	0	1	1	2	0	0	0	0	0	0	3	2	7	1	3	0	1	1	2	0	0	1	1	1	0	0	0	1	0	4	0	0	0	0	2	0	0	1	1	1	0	0	0	10	2	0	1	0	5	5	1	0	0	0	0	4	0	0	0	2	0	6	1	1	2	0	0	1	0	0	2	5	0	0	0	0	0	5	0	5	5	0	7	23	5	0	1	0	0	2	0	0	0	6	8	0	0	0	11	1	0	0	0	3	6	0	5	1	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	9	0	1	0	0	0	1	3	0	0	0	0	1	1	0	0	8	0	29	9	0	0	0	2	0	1	0	0	16	1	0	1	0	0	0	0	20	3	5	4	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	2	0	3	0	0	0	1	0	1	1	0	1	2	0
Latest from Crooks and Liars	0	0	0	0	8	0	1	0	0	7	1	1	0	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	2	0	0	0	1	2	1	2	0	1	0	0	0	0	2	7	1	0	1	1	3	0	1	2	1	7	1	2	0	1	0	0	0	3	0	1	0	2	0	1	0	2	1	0	3	0	2	0	0	0	1	2	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	1	0	1	0	0	1	0	9	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	5	0	1	0	0	2	0	0	2	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	7	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	2	0	1	1	0	0	0	0	1	0	3	1	0	7	1	0	0	1	1	0	1	0	0	0	0	0	3	1	3	0	0	0	1	2	2	1	0	2	4	1	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	16	2	2	0	0	0	1	2	0	3	0	0	2	0	3	1	3	0	1	1	1	1	0	0	0	1	1	14	0	1	0	3	1	1	1	0	0	5	0	1	1	1	0	0	0	4	1	2	6	2	1	0	0	1	1	0	6	1	5	2	2	1	0	1	3	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	2	0	0	19	0	1	0	0	0	1	0	0	0	6	1	0	0	1	0	0	0	1	0	0	5	1	6	0	1	2	3	0	1	1	1	0	0	1	0	0	7	3	0	2	0	1	2	1	0	0	0	1	0	2	0	0	0	1	0	2	3	0	0	0	0	0	0	1	0	2	2	0	2	0	6	0	1	0	1	2	1	1	0	0	0	0	0	0	3	0	0	1	0	0	0	5	0	0	0	2	3	3	0	3	0	0	0	3	3	0	2	0	0	0	0	3	2	0	0	0	0	4	0	0	2	2	0	0	0	0	1	0	0	2	4	0	3	0	0	0	0	0	0	0	0	1	0	0	0	9	0	3	0	0	1	2	1	14	6	3	5	3	0	0	0	0	0	1	0	0	0	2	0	2	0	1	0	1	1	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	1	1	2	0	0	1	3	0
Signal v. Noise - Medium	7	1	22	2	16	7	9	3	0	40	2	3	4	2	5	3	5	2	1	1	2	1	3	0	9	18	0	4	10	2	6	4	18	2	9	7	4	2	2	11	3	0	9	4	2	6	8	18	0	13	1	2	3	3	1	1	5	1	0	2	4	2	4	2	0	5	9	15	10	1	5	17	12	1	1	17	10	6	11	4	1	16	0	1	1	15	2	4	16	10	8	0	3	1	1	15	11	4	4	17	0	5	2	2	6	2	8	4	1	61	2	6	11	1	28	9	7	5	5	0	3	3	19	11	4	5	7	42	12	1	9	0	3	2	0	6	2	15	11	10	10	7	12	7	6	0	2	9	3	3	3	3	1	1	6	6	6	4	56	15	3	18	2	4	0	8	2	5	2	1	16	10	0	3	2	48	0	2	2	1	0	1	8	3	0	6	6	8	1	2	14	6	6	15	4	6	3	7	3	11	23	0	13	20	1	30	4	2	55	4	1	6	13	21	1	11	0	3	1	3	2	1	6	22	3	1	4	4	6	13	23	32	24	61	1	3	0	11	2	0	8	24	8	16	2	4	6	3	0	0	6	4	9	1	3	12	13	7	30	1	12	13	20	5	5	0	1	26	2	13	3	9	5	1	6	34	1	6	12	2	23	1	28	3	12	0	30	2	2	1	2	0	29	2	2	2	9	15	4	6	23	2	10	8	17	6	6	11	8	3	4	6	0	39	10	1	0	7	41	0	5	0	4	2	3	2	26	1	4	4	3	1	22	10	1	11	3	2	3	0	3	4	1	3	24	1	11	6	3	0	5	2	10	0	1	5	5	2	1	2	24	0	2	3	5	4	2	51	4	0	6	10	2	16	6	6	0	4	8	0	13	18	7	4	0	0	27	1	0	8	10	23	4	26	1	18	9	12	6	5	3	0	4	2	9	5	7	9	2	7	0	3	4	53	31	4	0	8	0	18	0	0	1	1	1	8	1	1	0	8	19	11	4	19	11	3	0	12	6	2	27	27	0	20	8	1	2	15	1	14	2	7	30	22	16	1	1	0	4	7	1	11	6	2	19	2	4	1	65	5	4	6	10	13	7	2	4	3	0	2	11	2	2	0	7	10	0	6	0	0	5	2	2	0	8	11	4	22	2	4	1	8	3	14	0	2	7	15	0	0	2	0	5	15	3	1	5	7	2	5	2	3	85	1	0	8	9	6	0	3	38	41	27	43	42	2	1	0	0	5	3	7	17	1	1	0	15	3	2	2	2	4	4	1	2	1	22	5	0	8	14	9	4	2	2	0	12	45	10	1	23	6	5	2	8
